Qty,Value,Device,Package,Parts,Description
1,,CONN_041.27MM,1X04_1.27MM,J2,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections
1,0.1uF,CAPACITORC0603,R0603,C1,
1,1825910-7,1825910-7,SW_1825910-7,S1,Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 100000Cycles 2.55N Thru-Hole Loose
1,1K,RESISTORR0603,R0603,R1,Resistor 0603 1K
2,5K,RESISTORR0603,R0603,"R9,R10",Resistor 0603 5k
1,1uF,CAPACITORC0603,R0603,C2,
1,BAT-HLD-001,BAT-HLD-001,BAT-HLD-001,BT1,Linx Technologies BAT-HLD-001
1,BUZZER,BUZZER,PLKCS1212E,B1,
1,CORTEX_DEBUG_PTH,CORTEX_DEBUG_PTH,2X5-PTH-1.27MM,J1,Cortex Debug Connector - 10 pin
1,LCD-S401M16KR,LCD-S401M16KR,LCD-S401M16KR,LCD1,LUMEX
1,STM32F030K6T6,STM32F030K6T6,QFP80P900X900X160-32N,U2,None
1,TMP117AIDRVR,TMP117AIDRVR,SON65P200X200X80-7N,U1,None
2,dnp,CAPACITORC0603,R0603,"C3, C4",
1,dnp,LEDCHIP-LED0805,CHIP-LED0805,LED1,LED 0805 Green
1,dnp,LEDCHIP-LED0805,LEDCHIP-LED0805,LED2,LED 0805 Yellow
1,dnp,LEDCHIP-LED0805,LEDCHIP-LED0805,LED3,LED 0805 Red
3,dnp,RESISTORR0603,R0603,"R4, R5, R6",
25,33k,RESISTORR0603,R0603,"R3, R11-R34",Resistor 0603 33K
